colony_name,category
1628 Priya Darshani Vihar —,D
1629 Priyadarshini Vihar —,E
1630 Priya Enclave —,D
1631 Pul Pehlad Extn —,G
1632 Pul Pehladpur Village —,H
1633 Pundrik Vihar —,D
1634 Punjab Garden —,E
1635 Punjabi Bagh Apartment (208 DDA SFS Flats) —,D
1636 Punjabi Bagh Colony (Narela) —,G
1637 Punjabi Bagh East —,C
1638 Punjabi Bagh Extn —,C
1639 Punjabi Bagh West —,C
1640 Punjabi Basti —,F
1641 Punjabi Basti (Nangloi) —,G
1642 Punjabi Basti (Sabzi Mandi) —,F
1643 Punjabi Colony Alipur —,G
1644 Punjabi Colony Bawana —,G
1645 Punjab Khor —,H
1646 Purannagar —,G
"1647 Puran Nagar, Madhu Vihar —",G
1648 Pur (Pitampura) —,H
1649 Pushkar Enclave —,D
1650 Pushpa Bhawan —,A
1651 Pushpanjali —,D
"1652 Pushpanjali Enclave, Pitampura —",D
1653 Pushp Vihar —,D
1654 Qazi Pur —,H
1655 Qullakpur —,H
1656 Qutab Garh —,H
1657 Qutab Institutional Area —,B
1658 Qutab Pur Village —,H
"1659 Qutab Vihar, Najafgarh —",G
"1660 Radha Vihar, Nand Nagri —",G
1661 Radhey Puri —,F
1662 Radhey Puri Extn 1 & 2 —,F
1663 Radhey Shyam Park —,F
1664 Raghubarpura —,F
1665 Raghubir Nagar (Tagore Garden Extn) —,F
"1666 Raghu Enclave, Dabri —",G
"1667 Raghu Nagar, Pankha Road —",G
1668 Raghupur —,H
1669 Raghuwar Vihar —,G
1670 Rahat Ganj —,E
1671 Railway Colony / Qtrs Nangloi Extn —,G
1672 Raja Enclave —,D
1673 Raja Garden —,D
1674 Raja Garden (WZ Area) —,E
1675 Rajan Enclave —,G
1676 Rajan Vihar —,G
1677 Raja Park —,F
1678 Raja Puri Colony (Uttam Nagar) —,F
1679 Rajasthan Udyog Nagar —,E
1680 Raja Vihar Colony Siraspur —,G
1681 Raja Vihar (Near BIE) —,G
1682 Rajbir Colony —,G
1683 Rajdhani Enclave —,D
"1684 Rajdhani Park, Nangloi —",G
1685 Rajeev Camp (Okhla) —,G
1686 Rajeev Colony Narela —,G
1687 Rajeev Nagar (Bhalswa Dairy) —,G
"1688 Rajeev Nagar, Kakrola —",G
1689 Rajeev Nagar Kanjhawala Road —,G
1690 Rajeev Park —,G
1691 Rajendra Park —,G
1692 Rajendra Place —,A
1693 Raj Garh —,F
1694 Rajgarh Colony —,F
"1695 Rajindra Park, Pusa Road —",C
"1696 Rajindra Park, Shanker Road —",C
1697 Rajiv Colony (Jhilmil Colony) —,F
"1698 Rajiv Gandhi Nagar, Mustafabad —",G
1699 Rajiv Nagar Begampur —,G
"1700 Rajiv Nagar, Karawal Nagar —",G
"1701 Rajiv Nagar, Mandoli —",G
"1702 Rajiv Pur, Samaypur —",G
1703 Raj Nagar —,D
1704 Raj Nagar I —,G
1705 Raj Nagar Khera Kalan —,G
"1706 Raj Nagar, Palam Colony —",G
"1707 Rajnagri, Uttam Nagar —",G
1708 Rajokri Harijan Basti —,G
1709 Rajokri Village —,H
1710 Rajouri Garden —,D
1711 Rajouri Garden (WZ Area) —,E
1712 Raj Park —,G
1713 Rajpura & Gurmandi Duplex Qtrs —,E
1714 Rajpur Chhawni —,G
1715 Rajpur Colony —,F
1716 Rajpur Khurd —,H
1717 Raju Camp —,G
"1718 Raju Park, Deoli —",G
"1719 Raju Park, Kakrola —",G
1720 Rakab Ganj —,E
1721 Rama Block —,F
1722 Rama Colony —,F
1723 Rama Enclave —,G
1724 Rama Garden —,G
1725 Ramakrishan Puram —,B
"1726 Rama Market, Munirka —",F
"1727 Rama Park, Siras Pur —",G
1728 Rama Park (Uttam Nagar) —,G
"1729 Rama Vihar, Mohd. Pur Majri —",G
1730 Ramchandran Park —,E
1731 Ram Datt Enclave —,G
"1732 Ramesh Enclave, Kirari —",G
1733 Ramesh Nagar —,D
1734 Ramesh Nagar Bawana —,G
1735 Ramesh Nagar (Laxmi Nagar) —,F
1736 Ramesh Park —,F
1737 Rameshwar Nagar —,F
1738 Ramgarh —,F
1739 Ramgarh (Rajouri Garden) —,E
1740 Ram Nagar —,E
"1741 Ram Nagar Colony, Nangloi —",G
1742 Ram Nagar Extn —,E
1743 Ram Nagar (Jagatpuri) —,F
"1744 Ram Nagar, Kakrola —",G
1745 Ram Nagar near Tilak Nagar —,F
1746 Ram Nagar (Rohtas Nagar) —,G
1747 Ram Pura —,F
1748 Ram Pura —,F
1749 Ram Pura Extn Colonies —,F
1750 Rampura Industrial Area —,F
1751 Rampuri —,C
1752 Ram Vihar —,D
"1753 Rana Colony, Mehrauli —",F
1754 Ranaji Enclave (Uttam Nagar) —,G
"1755 Rana Park, Siraspur —",G
1756 Rana Pratap Bagh —,D
1757 Rangpuri —,E
1758 Ranhola Shaffipur —,H
1759 Ranhola Vihar —,G
1760 Rani Bagh —,D
1761 Rani Enclave —,G
1762 Rani Garden —,F
1763 Rani Khera —,G
1764 Rani Khera Village —,H
1765 Ranjit Nagar —,E
1766 Ranjit Park —,F
"1767 Ranjit Vihar, Nilothi —",G
1768 Raota —,H
"1769 Rao Vihar, Nangloi —",G
1770 Rashid Market —,F
1771 Rasulpur —,G
1772 Ratanakar Vihar —,G
1773 Ratan Bagh —,G
1774 Ratan Bagh (Veena Enclave) —,G
1775 Ratan Nagar —,E
1776 Ratan Park —,G
1777 Ratan Vihar —,F
1778 Rattan Bagh —,F
1779 Rattan Park —,G
"1780 Rattan Vihar, Kirari —",G
"1781 Ravi Das Colony, Narela —",G
1782 Ravi Nagar —,F
1783 Ravi Nagar Extn —,G
1784 Raza Pur Kalan —,H
1785 Raza Pur Khurd —,H
1786 RBI Colony —,D
1787 RC Khichripur —,G
1788 RC Khyala —,G
1789 RC Madipur —,G
1790 Rehgarpura —,E
1791 Reserve Bank Colony —,D
1792 Rewala Khanpur —,H
1793 Ring Road Bungalows —,A
1794 Risala Garden (Uttam Nagar) —,G
1795 Rishab Vihar —,D
"1796 Rishal Vihar, Chhawla Extn —",G
"1797 Rishib Nagar, Mohan Park —",G
1798 Rishi Kadam Pur Harijan Colony —,G
1799 Rishi Nagar —,E
1800 Rithala Village —,G
1801 Rohini —,E
1802 Rohini Institutional Area —,C
"1803 Rohini Kunj, Bawana —",G
1804 Rohit Kunj —,D
1805 Rohtash Nagar —,F
"1806 Rohtas Nagar, Janakpuri —",G
"1807 Roopali Enclave, Karala —",G
1808 Roop Nagar —,D
1809 Roop Nagar (Keshav Puram) —,E
1810 Roshan Garden (Najafgarh) —,G
"1811 Roshan Mandi, Najafgarh —",G
1812 Roshan Pura —,E
"1813 Roshanpura Allies, Dichaon Khurd —",H
1814 Roshan Pura Colony Najafgarh —,G
"1815 Roshanpura, Najafgarh —",G
"1816 Roshan Vihar, Kakrola Road —",G
"1817 Roshan Vihar, Najafgarh —",G
"1818 Rouse Avenue, Institutional Area —",B
1819 RPS Colony —,F
1820 Ruchi Vihar —,E
1821 Sabhepur —,H
1822 Sabhepur Colony —,G
1823 Sabhey Pur Gujran —,H
1824 Saboli —,G
1825 Saboli Colony —,F
1826 Saboli Extension —,F
1827 Sabzi Mandi —,E
1828 Sadar Bazar —,E
1829 Sadatpur —,G
1830 Sadbora Khurd —,G
1831 Sadhana Enclave —,B
"1832 Sadh Nagar Part I & II, Palam —",G
1833 Sadiq Nagar —,D
1834 Safdarjung Development Area —,B
1835 Safdarjung Enclave —,B
1836 Sagar Pur Main & West —,G
1837 Sahibpura —,F
1838 Sahipur Village —,G
1839 Sahupura —,G
1840 Sahyog Vihar —,F
"1841 Sai Enclave, Roshanpura —",G
1842 Saini Enclave —,D
1843 Sainik Enclave (Uttam Nagar) —,G
1844 Sainik Farm —,D
"1845 Sainik Nagar, Uttam Nagar —",G
1846 Sainik Nagar (Uttam Nagar) —,G
1847 Sainik Vihar —,D
"1848 Sainik Vihar, Mohan Garden —",G
1849 Saini Vihar —,G
1850 Saiyad Ul Ajaib Extn —,F
1851 Saiyad Ul Ajaib Village —,H
1852 Sakdarpur —,F
1853 Saket —,C
1854 Saket Block —,G
1855 Salah Pur Majra —,H
1856 Salah Pur Village —,H
1857 Salatpur Khadak —,F
1858 Salempur Majra Burari Colony —,G
1859 Sama Garden —,D
1860 Samaspur Extn —,F
1861 Samay Vihar —,E
1862 Sambhalka Village —,H
1863 Samrat Enclave —,D
"1864 Samrat Enclave, Najafgarh —",G
1865 Sandesh Vihar —,D
1866 Sangam Park —,D
1867 Sangam Vihar —,G
1868 Sangam Vihar at M.B. Road —,G
1869 Sangarpur —,H
1870 Sanjay Amar Colony —,F
1871 Sanjay Colony Bhatti Mines —,G
1872 Sanjay Colony Narela —,G
1873 Sanjay Colony (Okhla) —,G
1874 Sanjay Enclave —,G
1875 Sanjay Enclave (Uttam Nagar) —,G
1876 Sanjay Gandhi Transport Nagar —,E
1877 Sanjay Mohalla —,F
1878 Sanjay Nagar Bawana Extn —,G
1879 Sanjay Nagar (Jahangirpuri) —,G
1880 Sanjay Nagar Near Gulabi Bagh —,E
1881 Sanoth —,H
1882 Sanskrit Nagar —,E
1883 Santgarh —,F
1884 Sant Nagar —,D
1885 Sant Nagar (Burari) —,G
1886 Sant Nagar Extn —,F
1887 Sant Nagar (Nizamuddin) —,G
1888 Sant Nagar (North) —,F
1889 Sant Nagar (Tagore Garden) —,F
1890 Santosh Park (Uttam Nagar) —,G
1891 Sanwal Nagar —,E
1892 Saoda —,H
1893 Sarai Basti —,G
1894 Sarai Jhuliana —,G
1895 Sarai Kale Khan —,F
1896 Sarai Kale Khan —,G
1897 Sarai Rohilla —,E
1898 Sarangpur —,H
1899 Saraswati Garden —,D
1900 Saraswati Kunj —,B
1901 Saraswati Kunj & Apartments —,F
1902 Saraswati Park —,E
1903 Saraswati Vihar —,D
1904 Sardar Nagar (near CC Colony) —,D
1905 Sarita Vihar —,D
1906 Sarojani Naidu Park (Shastri Nagar) —,F
1907 Sarojani Park (Shastri Nagar) —,F
1908 Saroop Nagar (Libaspur) —,G
1909 Saroop Vihar (Burari) —,G
1910 Sarup Nagar (University) —,E
1911 Sarup Vihar (Kadipur) —,G
1912 Sarvapriya Vihar —,B
1913 Sarvodaya Enclave —,B
1914 Satbari Colony —,F
1915 Satberi Village —,H
1916 Sat Nagar —,E
1917 Satnam Park —,F
1918 Satyam Vihar —,E
1919 Satyanand Nagar (Mehrauli) —,G
1920 Satya Niketan —,D
1921 Satyawati Nagar —,F
1922 Savai Phoos Colony —,E
1923 Savita Vihar —,D
1924 Savitri Nagar —,D
1925 Sawan Park —,F
1926 SBM Colony —,E
1927 Seelampur —,G
1928 Seelampur Village —,G
1929 Seemapuri —,F
1930 Sewak Park (Nangloi) —,G
1931 Sewak Park (Uttam Nagar) —,G
1932 Sewa Kutir —,F
1933 Sewa Nagar —,D
1934 Shadipur Market —,E
1935 Shadipur (Shadi Khampur) —,G
1936 Shahabad Mohammadpur —,G
1937 Shahdara —,G
1938 Shahbad Dairy —,G
1939 Shahbad Dairy —,H
1940 Shahbad Daulat Pur —,H
1941 Shaheed Bhagat Singh Colony (Seelampur) —,G
"1942 Shaheed Bhagat Singh Nagar, Karala —",G
1943 Shaheed Camp —,F
1944 Shah Ganj —,E
1945 Shahibabad Estate (Daulatpur) —,G
1946 Shahi Idgah Colony —,E
1947 Shahi Masjid Colony —,F
1948 Shahjadabagh —,F
1949 Shah Nagar (Mangla Puri) —,G
1950 Shahpura —,F
1951 Shah Pur Garhi —,H
1952 Shahpur Jat —,E
1953 Shahur Pur —,H
1954 Shahzadabagh Extn —,F
1955 Shakarpur —,F
1956 Shakarpur Khas —,G
1957 Shakti Nagar —,D
1958 Shakti Nagar Extn —,D
1959 Shakti Vihar —,D
1960 Shakti Vihar (Molarband Extn) —,G
1961 Shakurbasti —,E
1962 Shakurpur Colony —,E
1963 Shakurpur Village —,G
1964 Shalimar Bagh —,D
1965 Shalimar Extn —,C
1966 Shalimar Park —,F
1967 Shalimar Village —,G
1968 Shamas Pur —,H
1969 Shamaspur Village —,G
1970 Shamazpur Khalsa —,H
1971 Shambu Nagar —,G
1972 Sham Nagar (Jagatpuri) —,F
1973 Sham Nagar (Khyala) —,G
1974 Shampur (Khampur) —,H
1975 Shankar Garden —,D
1976 Shankar Nagar —,F
1977 Shankar Nagar Extn —,F
1978 Shankarpura —,G
1979 Shankar Vihar —,D
1980 Shanti Mohalla —,F
1981 Shanti Nagar —,F
1982 Shanti Niketan —,A
1983 Shanti Park —,G
1984 Shanti Vihar —,D
1985 Shanti Vihar (Najafgarh) —,G
1986 Sharda Niketan —,D
1987 Shardapuri —,D
1988 Sharma Enclave (Mubarakpur Extn) —,G
1989 Sharman Vihar —,F
1990 Shashi Garden —,F
1991 Shastri Nagar —,F
1992 Shastri Park —,F
1993 Shastri Park (Beadon Pura) —,E
1994 Shastri Park (Nathu Pura) —,G
1995 Shastri Park (Seelampur) —,F
1996 Sheesh Mahal —,E
1997 Sheikh Sarai Phase I —,C
1998 Sheikh Sarai Phase II —,D
1999 Sheikh Sarai Village —,F
2000 Sherpur —,F
2001 Sherpur Deri —,H
2002 Sherpur Village —,H
2003 Sher Singh Enclave (Karala) —,G
2004 Shikar Pur —,H
2005 Shikshak Sadan —,D
2006 Shish Mahal Enclave —,G
2007 Shiva Enclave —,D
2008 Shiva Enclave (Hiranki) —,G
2009 Shiva Enclave (Paschim Vihar) —,D
2010 Shiva Enclave (Uttam Nagar) —,G
2011 Shivaji Enclave —,E
2012 Shivaji Nagar —,F
2013 Shivaji Nagar (Narela) —,G
2014 Shivaji Park —,F
2015 Shivaji Park (Madipur) —,E
2016 Shiva Khand —,G
2017 Shivalik Colony —,C
2018 Shivani Enclave (Kakrola) —,G
2019 Shivani Vihar (Kakrola) —,G
"2020 Shiv Colony, Budh Vihar —",G
2021 Shiv Enclave (Dichaon Road) —,G
2022 Shiv Mandir Mohalla (Badli) —,G
2023 Shiv Nagar —,F
2024 Shiv Nagar (Uttam Nagar) —,F
2025 Shiv Park (Deoli) —,F
2026 Shiv Puri Extn —,F
2027 Shiv Puri (Jagatpuri) —,F
2028 Shivpuri Mithapur Extn —,G
2029 Shiv Puri (Samaypur) —,G
2030 Shiv Puri (Sagarpur) —,G
2031 Shiv Ram Park (Nangloi) —,G
2032 Shiv Ram Park (Uttam Nagar) —,G
2033 Shiv Vihar —,G
2034 Shiv Vihar (Karala) —,G
2035 Shiv Vihar (Karawal Nagar) —,G
2036 Shiv Vihar (Uttam Nagar) —,G
2037 Shora Kothi —,E
2038 Shree Enclave —,G
2039 Shree Nagar —,E
2040 Shree Nagar Extn —,E
2041 Shreshtha Vihar —,D
2042 Shri Ram Colony —,F
2043 Shri Ram Nagar —,F
2044 Shri Sai Nagar (Mithapur) —,G
2045 Shubhadra Colony —,F
2046 Shubham Enclave —,D
2047 Shubh Enclave —,D
2048 Shubh Enclave (Paschim Vihar) —,D
2049 Shukla Enclave (Ghevra Road) —,H
2050 Shyama Prashad Mukherjee Park —,F
2051 Shyam Enclave —,D
2052 Shyam Nagar —,D
2053 Shyam Park (Nawada) —,G
2054 Shyam Vihar —,G
2055 Siddhipura —,F
2056 Sidhartha Extension —,E
2057 Sidhartha Nagar —,E
2058 Sidharth Enclave —,D
2059 Sidhora Kalan —,G
2060 Silver Park —,F
2061 Singalpur —,F
2062 Singar Pur —,F
2063 Singhola —,H
2064 Singhu —,H
2065 Siras Pur Village —,H
2066 Siri Fort Institutional Area —,A
2067 Sita Puri (Pankha Road) —,G
2068 Sitaram Bazar —,E
2069 Sita Saran Colony —,E
2070 SKD Basti —,F
2071 Soami Nagar —,B
2072 Somesh Vihar Colony —,F
2073 Som Vihar —,C
2074 Sonia Gandhi JJ Camps —,F
2075 Sonia Vihar —,G
2076 Sorabh Vihar (Hari Nagar Extn) —,E
2077 South Anarkali —,F
2078 South Extension (NDSE) —,B
2079 South Moti Bagh —,B
2080 South Patel Nagar —,D
2081 Sri Chand Park (Matiala) —,G
2082 Sri Fort Banglows —,A
2083 Sri Nagar Garden —,F
2084 Srinivaspuri JJ Colony —,G
2085 Sriniwaspuri —,D
2086 Sriniwaspuri Extn —,E
2087 State Bank Colony (GT Karnal Road) —,D
2088 State Bank Nagar —,D
2089 Subhas Camp —,F
2090 Subhash Khand —,F
2091 Subhash Mohalla —,F
2092 Subhash Nagar —,F
2093 Subhash Park —,F
2094 Subhash Park Extn —,G
2095 Subhash Park (Rohtas Nagar) —,F
2096 Subhash Vihar —,F
2097 Subodh Park (Uttam Nagar) —,G
2098 Sudarshan Park —,E
2099 Sudarshan Park (Mithapur Extn) —,G
2100 Sudarshan Park (Uttam Nagar) —,F
2101 Suiwalan Area —,E
2102 Sukhdev Park —,D
2103 Sukhdev Vihar —,B
2104 Sukhdev Vihar (DDA Flats) —,C
2105 Sukh Ram Park —,F
2106 Sukh Vihar —,D
2107 Sukhvir Nagar (Karala) —,G
2108 Sultanpur —,H
2109 Sultan Pur Dabas —,H
2110 Sultanpuri —,G
2111 Sultanpur Majra —,G
2112 Sumit Vihar —,F
2113 Sundar Block —,F
2114 Sunder Nagar —,A
2115 Sunder Nagri —,F
2116 Sunder Park —,F
2117 Sunder Park (Shastri Nagar) —,F
2118 Sunder Vihar —,D
2119 Sunlight Colony–I —,E
2120 Sunlight Colony–II —,E
2121 Supreme Enclave & Societies —,D
2122 Suraja Camp —,F
2123 Surajmal Vihar —,D
2124 Suraj Nagar —,F
2125 Suraj Park (Sameypur) —,F
2126 Surakhpur —,H
2127 Suraksha Enclave —,D
2128 Suraksha Vihar (Hastsal) —,G
2129 Surat Vihar —,G
2130 Surera —,H
2131 Surya Enclave —,D
2132 Surya Niketan —,D
2133 Sushant Vihar (Ibrahimpur) —,G
2134 Sushila Garden (Mandoli) —,G
2135 Swami Ramtirth Nagar —,E
2136 Swami Shraddhanand Park —,G
2137 Swarn Park (Mundka) —,G
2138 Swasthya Vihar —,D
2139 Swatantra Nagar (Narela) —,G
2140 Swayamsidha Colony —,E
2141 Sweepers Colony —,G
2142 Syndicate Enclave —,G
2143 Tagore Garden (21) —,D
2144 Tagore Park —,D
2145 Tagore Park (21) —,D
2146 Tagore Park Extn —,D
2147 Taimoor Nagar —,G
2148 Taimoor Nagar (Pillanji) —,G
2149 Taimoor Nagar Village —,G
2150 Taj Enclave —,F
2151 Tajpur Kalan —,H
2152 Taj Pur Khurd —,H
2153 Tajpur Pahari Village —,H
2154 Tajpur Village —,H
2155 Talimabad —,F
2156 Tara Nagar (Kakrola) —,G
2157 Tarun Enclave —,D
2158 Tatarpur —,G
2159 Tatesar —,H
2160 Teachers Colony —,G
2161 Teachers Quarters —,F
2162 Tekhand —,G
2163 Telephone Colony —,F
2164 Telibara —,F
2165 Teliwara —,E
2166 Temple Colony (Shamypur) —,G
2167 Thakkar Bapa Nagar —,E
2168 Than Singh Nagar —,F
2169 Tigi Pur —,H
2170 Tigri Colony —,G
2171 Tigri Village —,H
2172 Tihar —,G
2173 Tikri Kalan —,H
2174 Tikri Khurd —,H
2175 Tilak Khand —,F
2176 Tilak Nagar —,E
2177 Tilak Vihar —,F
2178 Tilang Pur Kotla —,H
2179 Timarpur —,D
2180 Tirthanker Nagar —,G
2181 Tis Hazari —,D
2182 Todapur Village —,H
2183 Tokriwalan —,E
2184 Tomar Colony (Kamal Pur Majra) —,G
2185 Toot Sarai (Malviya Nagar) —,F
2186 Transit Camp —,G
2187 Transport Nagar (Tri Nagar) —,F
2188 Trilokpuri —,G
2189 Tri Nagar —,F
2190 Tughlakabad —,G
2191 Tughlakabad Extn —,F
2192 Tughlaqabad Institutional Area —,C
2193 Tukhmir Pur Extn —,G
2194 Tukhmir Pur Village —,H
2195 Tulsi Nagar —,F
2196 Tulsiram Bagichi (Nangal Raya) —,G
2197 Tunda Nagar —,G
2198 Tyagi Colony —,G
2199 Tyagi Vihar (Near Ghevra) —,G
2200 Uday Niketan —,D
2201 Uday Park —,B
2202 Uday Vihar —,G
2203 Uday Vihar Colony (Kanjhawala) —,G
2204 Udyog Nagar —,E
2205 Uggar Sain Park —,G
2206 Ujjawal —,G
2207 Ujwa —,H
2208 University Area (North Campus) —,C
2209 Upadhyay Block —,F
2210 Usha Enclave & Societies —,D
2211 Usha Park —,F
2212 Usmanpur Village —,G
2213 Utsav Vihar (Karala) —,G
2214 Uttam Nagar (17) —,F
2215 Uttam Vihar —,G
2216 Uttaranchal Colony —,F
2217 Uttranchal Enclave (Kamal Pur) —,G
2218 Vaishali —,D
2219 Vaishali Colony (Dabri) —,G
2220 Vakil Pura —,E
2221 Vandana Vihar (Nangloi) —,G
2222 Vani Vihar —,G
2223 Vardhman Nagar —,E
2224 Vardhwan Vihar (Najafgarh) —,G
2225 Vardman Enclave (Karala) —,G
2226 Varun Enclave —,F
2227 Varun Kunj —,G
2228 Varun Niketan —,D
2229 Vasant Enclave —,B
2230 Vasant Kunj —,C
2231 Vasant Vihar —,A
2232 Vashisht Park —,G
2233 Vasudha Enclave —,D
2234 Vasundhara Enclave —,D
2235 Vayusenabad —,C
2236 Veena Enclave —,G
2237 Veer Savarkar Block —,F
2238 Vidhya Vihar —,D
2239 Vidya Vihar (Hastsal) —,F
2240 Vigyan Lok —,D
2241 Vigyan Vihar —,D
2242 Vijay Colony (Bawana) —,G
2243 Vijay Enclave —,G
2244 Vijay Laxmi Park (Nilothi) —,G
2245 Vijay Mandal Enclave —,C
2246 Vijay Mohalla —,G
2247 Vijay Nagar —,D
2248 Vijay Park —,F
2249 Vijay Vihar —,G
2250 Vijay Vihar (Hastsal) —,G
2251 Vijay Vihar (Uttam Nagar) —,G
2252 Vijeta Vihar —,G
2253 Vikas Enclave (Hastsal) —,G
2254 Vikash Sadan —,D
2255 Vikas Nagar (Hastsal) —,G
2256 Vikas Nagar (Kakraula) —,G
2257 Vikaspuri —,D
2258 Vikas Vihar (Kakraula) —,G
2259 Vikas Vihar (Uttam Nagar) —,G
2260 Vikram Nagar —,F
2261 Vikram Vihar —,C
2262 Vikrant Enclave —,F
2263 Vinoba Puri —,D
2264 Vinod Nagar —,F
2265 Virendra Nagar —,F
2266 Virsingh Colony —,G
2267 Vishakha Enclave —,D
2268 Vishal Ban Housing Society —,G
2269 Vishal Enclave —,D
2270 Vishkarma Nagar —,F
2271 Vishnu Garden —,G
2272 Vishnu Garden —,F
2273 Vishnu Park —,G
2274 Vishwakarma Park —,F
2275 Vishwas Nagar —,F
2276 Vishwas Park —,F
2277 Vishwa Vihar —,E
2278 Viswakarma Colony —,G
2279 Vivekanand Puri —,F
2280 Vivek Vihar Phase II —,D
2281 Vivek Vihar Phase I —,D
2282 Wazirabad —,G
2283 Wazirabad —,F
2284 Wazir Nagar Colony —,D
2285 Wazir Nagar Village —,E
2286 Wazirpur —,F
2287 Wazirpur Industrial Area —,E
2288 Welcome Colony (Seelampur) —,F
2289 West Enclave & Apartments —,D
2290 West End —,A
2291 Western Extn. Karol Bagh —,D
2292 West Gorakh Park —,F
2293 West Kanti Nagar —,F
2294 West Patel Nagar —,D
2295 Yadav Enclave —,G
2296 Yadav Nagar —,G
2297 Yadav Nagar (Samaypur) —,G
2298 Yadav Park (Nangloi Rohtak Road) —,G
2299 Yakutpur —,H
2300 Yamuna Bazar —,E
2301 Yamuna Vihar —,E
2302 Yograj Colony —,G
2303 Yojana Vihar —,D
2304 Yusuf Sarai —,E
2305 Yusuf Sarai DDA Flats —,C
2306 Zakhira —,F
2307 Zakir Bagh —,D
2308 Zakir Nagar (Okhla) —,F
2309 Zamrudpur —,E
2310 Zimidinpur —,H
2311 Zindpur —,H
